model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,CA,small car,7.0,20.0,30.0,24.0,7,yes,08
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,7.0,23.0,31.0,25.0,7,yes,08
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,20.0,30.0,24.0,7,yes,08
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,23.0,31.0,25.0,7,yes,08
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,CA,small car,9.5,19.0,29.0,22.0,6,yes,08
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,9.5,20.0,30.0,24.0,7,yes,08
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,CA,small car,7.0,19.0,29.0,22.0,6,yes,08
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,7.0,20.0,30.0,24.0,7,yes,08
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,29.0,22.0,6,no,08
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,20.0,30.0,24.0,7,yes,08
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,9.5,20.0,27.0,23.0,7,yes,08
BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,CA,small car,7.0,19.0,28.0,22.0,6,yes,08
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,7.0,20.0,27.0,23.0,7,yes,08
BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,20.0,27.0,23.0,7,yes,08
BMW 328i,3.0,6,Man-6,2WD,Gasoline,CA,small car,9.5,20.0,30.0,24.0,7,yes,08
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,9.5,23.0,31.0,25.0,7,yes,08
BMW 328i,3.0,6,Man-6,2WD,Gasoline,CA,small car,7.0,20.0,30.0,24.0,7,yes,08
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,CA,small car,7.0,23.0,31.0,25.0,7,yes,08
BMW 328i,3.0,6,Man-6,2WD,Gasoline,FA,small car,6.0,20.0,30.0,24.0,7,yes,08
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,FA,small car,6.0,23.0,31.0,25.0,7,yes,08
BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,CA,station wagon,7.0,19.0,29.0,22.0,6,yes,08
BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,FA,station wagon,6.0,19.0,29.0,22.0,6,no,08
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,9.5,20.0,27.0,23.0,7,yes,08
BMW 328xi,3.0,6,Man-6,4WD,Gasoline,CA,small car,7.0,19.0,28.0,22.0,6,yes,08
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,CA,small car,7.0,20.0,27.0,23.0,7,yes,08
BMW 328xi,3.0,6,Man-6,4WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no,08
